--------function_ID = 27---------------------
-----------------------------------------------
Total Elapsed time: 3280.721781 seconds
Run: 1, Time: 215.486 s, Best fitness: 348.020645917
Run: 2, Time: 216.716 s, Best fitness: 306.070891061
Run: 3, Time: 217.112 s, Best fitness: 333.796791848
Run: 4, Time: 217.238 s, Best fitness: 396.148580996
Run: 5, Time: 217.194 s, Best fitness: 309.041629275
Run: 6, Time: 217.555 s, Best fitness: 433.251458875
Run: 7, Time: 217.591 s, Best fitness: 380.854797828
Run: 8, Time: 217.607 s, Best fitness: 329.140376424
Run: 9, Time: 218.513 s, Best fitness: 320.827975692
Run: 10, Time: 217.707 s, Best fitness: 348.784901647
Run: 11, Time: 218.289 s, Best fitness: 334.899073784
Run: 12, Time: 218.159 s, Best fitness: 340.494677402
Run: 13, Time: 218.949 s, Best fitness: 316.203901200
Run: 14, Time: 218.222 s, Best fitness: 317.221212043
Run: 15, Time: 218.918 s, Best fitness: 416.147488723
Total Elapsed time: 3280.721745 seconds
